南浦凄凄别，西风袅袅秋。  ──白居易《南浦别》
中山人予之猫，猫善捕鼠及鸡。  ──刘基《乞猫》
白马金鞍从武皇，旌旗十万宿长杨。  ──王昌龄《青楼曲二首》
千古兴亡多少事？悠悠。不尽长江滚滚流。  ──辛弃疾《南乡子·登京口北固亭有怀》
毕竟西湖六月中，风光不与四时同。  ──杨万里《晓出净慈寺送林子方》
白鸟一双临水立，见人惊起入芦花。  ──戴复古《江村晚眺》
仓禀无宿储，徭役犹未已。  ──韦应物《观田家》
吴兴才人怨春风，桃花满陌千里红。  ──李贺《送沈亚之歌·并序》
雨后寒轻，风前香软，春在梨花。  ──仲殊《柳梢青·吴中》
中山人予之猫，猫善捕鼠及鸡。  ──刘基《乞猫》
无计奈情何，且醉金杯酒。  ──晏几道《生查子·轻匀两脸花》
自闻颖师弹，起坐在一旁。  ──韩愈《听颖师弹琴》
慈母倚门情，游子行路苦。  ──王冕《墨萱图·其一》
明月黄河夜，寒沙似战场。  ──李流芳《黄河夜泊》
当年曾胜赏，生香熏袖，活火分茶。  ──李清照《转调满庭芳·芳草池塘》
想见广寒宫殿，正云梳风掠。  ──辛弃疾《好事近·中秋席上和王路钤》
军歌应唱大刀环，誓灭胡奴出玉关。  ──徐锡麟《出塞》
会当凌绝顶，一览众山小。  ──杜甫《望岳》
萋萋芳草小楼西，云压雁声低。  ──刘基《眼儿媚·秋思》
内官初赐清明火，上相闲分白打钱。  ──韦庄《长安清明》
一道残阳铺水中，半江瑟瑟半江红。  ──白居易《暮江吟》
哀哀父母，生我劳瘁。  ──佚名《蓼莪》
斑竹枝，斑竹枝，泪痕点点寄相思。  ──刘禹锡《潇湘神·斑竹枝》
虽惭老圃秋容淡，且看黄花晚节香。  ──韩琦《九日水阁》
败荷零落，衰杨掩映，岸边两两三三，浣沙游女。  ──柳永《夜半乐·冻云黯淡天气》
玉颜憔悴三年，谁复商量管弦。  ──王建《宫中调笑·团扇》
荒戍落黄叶，浩然离故关。  ──温庭筠《送人东游》
梨花最晚又凋零，何事归期无定准。  ──欧阳修《玉楼春·去时梅萼初凝粉》
摘青梅荐酒，甚残寒，犹怯苎萝衣。  ──汤恢《八声甘州·摘青梅荐酒》
骝马新跨白玉鞍，战罢沙场月色寒。  ──王昌龄《出塞二首》
历览前贤国与家，成由勤俭破由奢。  ──李商隐《咏史二首·其二》
烟尘犯雪岭，鼓角动江城。  ──杜甫《岁暮》
洛阳城东桃李花，飞来飞去落谁家？  ──刘希夷《代悲白头翁 / 白头吟 / 有所思》
共庆新年笑语哗，红岩士女赠梅花。  ──董必武《元旦口占用柳亚子怀人韵》
寂历秋江渔火稀，起看残月映林微。  ──汤显祖《江宿》
牛群食草莫相触，官家截尔头上角。  ──李涉《牧童词》
唤起封姨清晚景，更将荔子荐新圆。  ──张孝祥《浣溪沙·中秋坐上十八客》
江涵雁影梅花瘦，四无尘、雪飞云起，夜窗如昼。  ──卢祖皋《贺新郎·挽住风前柳》
鹤发垂肩尺许长，离家三十五端阳。  ──殷尧藩《同州端午》
柳外轻雷池上雨，雨声滴碎荷声。小楼西角断虹明。  ──欧阳修《临江仙·柳外轻雷池上雨》
终南阴岭秀，积雪浮云端。  ──祖咏《终南望余雪》
杨枝飘泊，桃根娇小，独自个思量。  ──项鸿祚《太常引·客中闻歌》
有熊有罴，有猫有虎，庆既令居，韩姞燕誉。  ──佚名《韩奕》
柘弹何人发，黄鹂隔故宫。  ──温庭筠《清明日》
君在天一涯，妾身长别离。  ──江淹《古离别》
东风渐绿西湖柳，雁已还、人未南归。  ──周密《高阳台·送陈君衡被召》
柳外轻雷池上雨，雨声滴碎荷声。  ──欧阳修《临江仙·柳外轻雷池上雨》
穿天透地不辞劳，到底方知出处高。  ──冯云山《咏瀑布》
日照香炉生紫烟，遥看瀑布挂前川。  ──李白《望庐山瀑布》
殷勤花下同携手。更尽杯中酒。美人不用敛蛾眉。  ──叶梦得《虞美人·雨后同干誉才卿置酒来禽花下作》
无由持一碗，寄与爱茶人。  ──白居易《山泉煎茶有怀》
正是浴兰时节动。菖蒲酒美清尊共。  ──欧阳修《渔家傲·五月榴花妖艳烘》
鸟衔野田草，误入枯桑里。  ──李白《树中草》
卧看牵牛织女星，月转过梧桐树影。  ──卢挚《沉醉东风·七夕》
旧游无处不堪寻。无寻处，惟有少年心。  ──章良能《小重山·柳暗花明春事深》
东家头白双女儿，为解挑纹嫁不得。  ──元稹《织妇词》
落花夜雨辞寒食。尘香明日城南陌。  ──吴文英《菩萨蛮·落花夜雨辞寒食》
应倾谢女珠玑箧，尽写檀郎锦绣篇。  ──罗隐《七夕》
长江一帆远，落日五湖春。  ──刘长卿《饯别王十一南游》
正蹇驴吟影，茶烟灶冷，酒亭门闭。  ──吴文英《无闷·催雪》
一日不读书，胸臆无佳想。  ──萧抡谓《读书有所见作》
见梨花初带夜月，海棠半含朝雨。  ──万俟咏《三台·清明应制》
人道山长水又断。萧萧微雨闻孤馆。  ──李清照《蝶恋花·泪湿罗衣脂粉满》
青蒲衔紫茸，长叶复从风。  ──佚名《拔蒲二首》
叶暗乳鸦啼，风定老红犹落。  ──蒋元龙《好事近·叶暗乳鸦啼》
虚空落泉千仞直，雷奔入江不暂息。  ──徐凝《庐山瀑布》
二月江南花满枝，他乡寒食远堪悲。  ──孟云卿《寒食》
谁怜旅愁荏苒。谩长门夜悄，锦筝弹怨。  ──张炎《解连环·孤雁》
长江万里东注，晓吹卷惊涛。  ──吴潜《水调歌头·焦山》
黄花本是无情物，也共先生晚节香。  ──于谦《过菊江亭》
叶落根偏固，心虚节更高。  ──憨山德清《咏竹五首》
醉别西楼醒不记。春梦秋云，聚散真容易。  ──晏几道《蝶恋花·醉别西楼醒不记》
对兹佳品酬佳节，桂拂清风菊带霜。  ──曹雪芹《螃蟹咏》
商叶堕干雨，秋衣卧单云。  ──孟郊《秋怀十五首》
奇文共欣赏，疑义相与析。  ──陶渊明《移居二首》
偶应非熊兆，尊为帝者师。  ──刘基《题太公钓渭图》
第四桥边，拟共天随住。  ──姜夔《点绛唇·丁未冬过吴松作》
昔看黄菊与君别，今听玄蝉我却回。  ──刘禹锡《始闻秋风》
今人嗤点流传赋，不觉前贤畏后生。  ──杜甫《戏为六绝句》
荷尽已无擎雨盖，菊残犹有傲霜枝。  ──苏轼《赠刘景文 / 冬景》
一夕轻雷落万丝，霁光浮瓦碧参差。  ──秦观《春日》
双星良夜，耕慵织懒，应被群仙相妒。  ──范成大《鹊桥仙·七夕》
恰如灯下，故人万里，归来对影。  ──黄庭坚《品令·茶词》
共眠一舸听秋雨，小簟轻衾各自寒。  ──朱彝尊《桂殿秋·思往事》
是无猫邪，是不会蓄猫也。  ──乐钧《世无良猫》
儿女纷纷夸结束，新样钗符艾虎。  ──刘克庄《贺新郎·端午》
野老念牧童，倚杖候荆扉。  ──王维《渭川田家》
秋风万里芙蓉国，暮雨千家薜荔村。  ──谭用之《秋宿湘江遇雨》
风雨端阳生晦冥，汨罗无处吊英灵。  ──贝琼《已酉端午》
雪虐风饕愈凛然，花中气节最高坚。  ──陆游《落梅》
